HospCountyName,Pop2019,Prop65Plus,PropWhite,PropPoverty,FIPS_StCty
Barnstable,212990,0.31,0.92,0.08,25001
Berkshire,124944,0.24,0.92,0.11,25003
Bristol,565217,0.17,0.88,0.11,25005
Dukes,17332,0.25,0.9,0.08,25007
Essex,789034,0.18,0.85,0.11,25009
Franklin,70180,0.23,0.94,0.11,25011
Hampden,466372,0.17,0.83,0.17,25013
Hampshire,160830,0.18,0.88,0.11,25015
Middlesex,1611699,0.16,0.78,0.07,25017
Norfolk,706775,0.17,0.78,0.07,25021
Plymouth,521202,0.19,0.84,0.06,25023
Suffolk,803907,0.12,0.62,0.18,25025
Worcester,830622,0.16,0.86,0.09,25027
Nantucket,11168,0.15,0.85,0.087,25019
